acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,block,browser,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_Clearscreen,count_Duration,count_GreenDot,count_Instructions,count_Instructions2,count_IsI,count_RedDot,count_TimeEnd,count_Trial,count_experiment,count_loopBlock2,count_mainloop,count_new_logger,count_new_sketchpad,count_new_sketchpad_1,count_osweb,count_pauze,date,datetime,delay_Duration,delay_IsI,description,disable_garbage_collection,duration,experiment,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_Instructions,response_Instructions2,response_TimeEnd,response_pauze,response_time,response_time_Instructions,response_time_Instructions2,response_time_TimeEnd,response_time_pauze,round_decimals,sampler_backend,screen,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,studyId,studyResultId,studyTitle,subject_nr,subject_parity,system,time_Clearscreen,time_Duration,time_GreenDot,time_Instructions,time_Instructions2,time_IsI,time_RedDot,time_TimeEnd,time_loopBlock2,time_mainloop,time_new_logger,time_new_sketchpad_1,time_pauze,title,total_correct,total_response_time,total_responses,uniform_coordinates,w,width,workerId
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,261,130,130,0,0,130,130,130,130,0,0,0,130,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),870,3181,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1709,26622,12558,1709,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,961794,959194,957511,76,594556,954321,960078,960078,76,76,961794,607124,565125,TimingLong,0,201737,131,yes,16,1024,439
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,263,131,131,0,0,131,131,131,131,0,0,0,131,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),881,2882,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1529,26622,12558,1529,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,968510,966094,964694,76,594556,961807,966978,966978,76,76,968510,607124,565125,TimingLong,0,203266,132,yes,6,1024,439
0,0,1541,1541,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,265,132,132,0,0,132,132,132,132,0,0,0,132,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),836,3033,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1728,26622,12558,1728,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,975543,972961,971562,76,594556,968520,973811,973811,76,76,975543,607124,565125,TimingLong,0,204994,133,yes,6,1024,439
0,0,1543,1543,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,267,133,133,0,0,133,133,133,133,0,0,0,133,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),837,3197,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1717,26622,12558,1717,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,983026,980446,978762,76,594556,975553,981294,981294,76,76,983026,607124,565125,TimingLong,0,206711,134,yes,16,1024,439
0,0,1541,1541,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,269,134,134,0,0,134,134,134,134,0,0,0,134,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),721,3236,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1321,26622,12558,1321,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,989510,987444,986278,76,594556,983037,988178,988178,76,76,989510,607124,565125,TimingLong,0,208032,135,yes,6,1024,439
0,0,1541,1541,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,271,135,135,0,0,135,135,135,135,0,0,0,135,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),735,3141,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1484,26622,12558,1484,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,996610,994363,992678,76,594556,989522,995111,995111,76,76,996610,607124,565125,TimingLong,0,209516,136,yes,16,1024,439
0,0,1542,1542,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,273,136,136,0,0,136,136,136,136,0,0,0,136,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),892,3128,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1678,26622,12558,1678,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1003744,1001160,999761,76,594556,996620,1002061,1002061,76,76,1003744,607124,565125,TimingLong,0,211194,137,yes,6,1024,439
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,275,137,137,0,0,137,137,137,137,0,0,0,137,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),844,2903,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1383,26622,12558,1383,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1010594,1008344,1006662,76,594556,1003754,1009196,1009196,76,76,1010594,607124,565125,TimingLong,0,212577,138,yes,16,1024,439
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,277,138,138,0,0,138,138,138,138,0,0,0,138,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),718,2756,The main experiment item,yes,1535,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1462,26622,12558,1462,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1017127,1014927,1013378,76,594556,1010605,1015661,1015661,76,76,1017127,607124,565125,TimingLong,0,214039,139,yes,6,1024,439
0,0,1539,1539,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,279,139,139,0,0,139,139,139,139,0,0,0,139,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),726,2977,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1443,26622,12558,1443,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1023994,1021811,1020128,76,594556,1017137,1022545,1022545,76,76,1023994,607124,565125,TimingLong,0,215482,140,yes,16,1024,439
0,0,1540,1540,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,281,140,140,0,0,140,140,140,140,0,0,0,140,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),770,3111,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1616,26622,12558,1616,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1030812,1028410,1027129,76,594556,1024004,1029194,1029195,76,76,1030812,607124,565125,TimingLong,0,217098,141,yes,6,1024,439
0,0,1539,1539,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,283,141,141,0,0,141,141,141,141,0,0,0,141,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),873,2919,The main experiment item,yes,1675,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1466,26622,12558,1466,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1037811,1035444,1033761,76,594556,1030824,1036329,1036329,76,76,1037811,607124,565125,TimingLong,0,218564,142,yes,16,1024,439
0,0,1541,1541,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,285,142,142,0,0,142,142,142,142,0,0,0,142,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),840,2957,The main experiment item,yes,1395,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1854,26622,12558,1854,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1044927,1042211,1040799,76,594556,1037821,1043061,1043061,76,76,1044927,607124,565125,TimingLong,0,220418,143,yes,6,1024,439
0,0,1542,1542,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,287,143,143,0,0,143,143,143,143,0,0,0,143,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),814,2981,The main experiment item,yes,1265,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1622,26622,12558,1622,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1051678,1049214,1047928,76,594556,1044937,1050045,1050045,76,76,1051678,607124,565125,TimingLong,0,222040,144,yes,6,1024,439
0,0,1542,1542,black,48,Default,no,2,,xpyriment,legacy,legacy,0,45,1,368,OSWeb experiment,uniform,undefined,289,144,144,0,0,144,144,144,144,0,0,0,144,0,1,0,0,,Fri Nov 15 2019 09:08:27 GMT+0100 (Central European Standard Time),862,2761,The main experiment item,yes,1165,,/Users/rijn/Downloads,no,mono,no,18,no,white,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,space,right,space,space,space,1595,26622,12558,1595,29429,2,legacy,,1573805355595,1024,2,48000,-16,experiment,45,368,TimingLong,0,even,,1058111,1055644,1054462,76,594556,1051689,1056512,1056512,76,76,1058112,607124,565125,TimingLong,0,223635,145,yes,6,1024,439
